id,name,fn,imp,reach,PS,P2,T,ER,G,AI,GU,morning,afterschool,dinner_prep,dinner,evening,weekend,toddler_alone,guest,grammy
1,Glanceable conditions glyph + temp,weather,1.0,0.728,1.0,1.0,0.2,0.6,1.0,0,0.6,1,1,0,0,0,1,0,1,1
2,One-line advice (umbrella / coat / park day),weather,1.0,0.66,1.0,0.8,0,0.4,0.8,1.0,0,1,0,0,0,0,1,0,0,0
3,Per-person dress hint,weather,0.7,0.35,1.0,0,0.4,0.8,0,1.0,0,1,0,0,0,0,0,0,0,0
4,Next-hour precipitation alert,weather,0.7,0.353,0.8,0.8,0,0,0.4,0.8,0,1,1,0,0,0,1,0,0,0
5,Severe-weather alert card,weather,0.7,0.392,0.8,0.8,0,0,0.8,1.0,0,1,0,0,1,1,0,0,0,0
6,Weather-as-scene art (idle),weather,0.7,0.356,0.4,0.4,0.8,0.8,0.6,0,0.6,1,0,0,0,1,1,0,1,1
7,Tappable weather scene with animal sounds,weather,0.4,0.102,0,0,1.0,0.4,0,0.6,0,0,1,0,0,0,0,1,0,0
8,Shared real-time list sync (phone page),grocery,1.0,0.58,1.0,1.0,0,0,0.8,0,0,0,0,1,0,0,1,0,0,0
9,Voice-add with on-wall echo,grocery,1.0,0.716,1.0,1.0,0,0.3,1.0,1.0,0,1,1,1,0,0,0,0,0,0
10,Explicit in-cart / bought state,grocery,1.0,0.58,1.0,1.0,0,0,0.8,0,0,0,0,1,0,0,1,0,0,0
11,Recently-bought re-add tray,grocery,0.7,0.392,1.0,0.8,0,0,0.6,0.6,0,0,0,1,0,0,1,0,0,0
12,Delete item,grocery,1.0,0.58,1.0,1.0,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0
13,Store / aisle sorting per store,grocery,0.7,0.344,1.0,0.8,0,0,0.4,0,0,0,0,1,0,0,1,0,0,0
14,Autocomplete from household history,grocery,0.7,0.353,0.8,0.8,0,0,0.4,0.8,0,0,0,1,0,0,0,0,0,0
15,"Frequency-based staples (""you're due for eggs"")",grocery,1.0,0.592,1.0,0.8,0,0,0.6,1.0,0,1,0,1,0,0,1,0,0,0
16,Icon / picture tiles for pre-readers,grocery,0.7,0.3,0.4,0,0.8,0.8,1.0,0,0,0,1,0,0,0,0,1,0,1
17,"Grammy's list, voice-routed",grocery,1.0,0.464,0.6,0.6,0,0,1.0,0.8,0,0,0,1,0,0,0,0,0,1
18,Quantity / units,grocery,0.4,0.136,0.6,0.6,0,0,0.4,0,0,0,0,1,0,0,0,0,0,0
19,Barcode / photo add of an empty carton,grocery,0.4,0.174,0.6,0.8,0,0,0.4,0.6,0,0,0,1,0,0,0,0,0,0
20,List generated from meal plan,grocery,1.0,0.484,1.0,0.6,0,0,0,1.0,0,0,0,1,0,0,1,0,0,0
21,Export / handoff to AnyList or Instacart,grocery,0.4,0.12,0.6,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
